location
Абу-Даби
Амман
Анкара
Ашхабад
Багдад
Баку
Бангкок
Бейрут
Бишкек
Вьентьян
Дакка
Дамаск
Дели
Джакарта
Доха
Душанбе
Иерусалим
Исламабад
Кабул
Катманду
Куала-Лумпур
Мале
Манама
Манила
Нур-Султан
Пекин
Пномпень
Пхеньян
Сана
Сеул
Ташкент
Тегеран
Токио
Тхимпху
Улан-Батор
Ханой
Эль-Кувейт
Эр-Рияд
Богота
Бразилиа
Гавана
Лима
Мехико
Оттава
Сан-Хосе
Сантьяго
Веллингтон
Каир
Хартум
Тунис
